Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Kongsberg Gruppen ASA,KOG.OL,415.6,419.6,-4.0,25.85,16.08,73563,74.066B
Acadia Healthcare Company Inc.,ACHC,82.32,82.42,-0.1,0,-7.91,256613,7.403B
Japan Exchange Group Inc.,8697.T,1897.5,1892.0,5.5,19.77,96.0,1255400,1.003T
Eregli Demir ve Çelik Fabrikalari T.A.S.,EREGL.IS,41.26,41.4,-0.14,43.66,0.94,88542912,139.961B
Nippon Building Fund Incorporation,8951.T,588000.0,592000.0,-4000.0,26.1,22525.9,2855,971.67B
WH Group Limited,0288.HK,4.54,4.55,-0.01,0,0,12286181,58.249B
Sofina Société Anonyme,SOF.VI,208.4,210.2,-1.8,5.16,40.38,0,7.031B
Banco Santander-Chile,BSAC,15.84,15.86,-0.02,7.92,2.0,249334,7.462B
DISH Network Corporation,DISH,14.04,14.12,-0.08,3.62,3.88,2872856,7.424B
Raia Drogasil S.A.,RADL3.SA,23.72,23.79,-0.07,80.96,0.29,4663600,39.071B
Pershing Square Holdings Ltd.,PSHZF,34.47,34.9,-0.43,2.37,14.57,16438,7.434B
Mobile TeleSystems Public Joint Stock Company,MTSS.ME,275.05,273.0,2.05,3.95,69.72,4274780,475B
Yang Ming Marine Transport Corporation,2609.TW,65.5,64.8,0.7,17.97,3.64,32226363,228.733B
ShockWave Medical Inc.,SWAV,205.61,207.51,-1.9,0,-1.99,365955,7.259B
PT Indofood CBP Sukses Makmur Tbk,ICBP.JK,10000.0,10175.0,-175.0,17.7,564.82,1958000,116.619T
publ),SAGA-B.ST,236.5,242.3,-5.8,28.05,8.43,138727,78.604B
Qantas Airways Limited,QAN.AX,6.01,5.94,0.07,0,-2.07,2359060,11.335B
Malaysia) Berhad,4707.KL,140.0,138.0,2.0,52.65,0,159000,32.83B
Globus Medical Inc.,GMED,74.27,74.55,-0.28,73.53,1.01,299788,7.535B
publ),INDT.ST,211.1,214.8,-3.7,44.07,4.79,189457,76.88B
Royal Gold Inc.,RGLD,112.72,112.25,0.47,29.13,3.87,302856,7.399B
Pentair plc,PNR,44.98,45.25,-0.27,18.17,2.48,1004350,7.443B
Auckland International Airport Limited,AIA.AX,7.39,7.51,-0.12,147.8,0.05,992639,10.883B
Floor & Decor Holdings Inc.,FND,69.63,70.99,-1.36,37.84,1.84,1185522,7.352B
Capri Holdings Limited,CPRI,57.32,57.2,0.12,0,-2.87,959358,8.624B
Phoenix Group Holdings plc,PHNX.L,608.6,612.6,-4.0,6.65,91.5,495553,6.083B
Taiwan Cement Corp.,1101.TW,33.65,33.7,-0.05,8.23,4.09,8514951,205.754B
Zions Bancorporation National Association,ZION,49.16,49.08,0.08,9.99,4.92,609815,7.692B
Old Republic International Corporation,ORI,24.15,24.26,-0.11,4.33,5.58,1106187,7.414B
ICICI Lombard General Insurance Company Limited,ICICIGI.NS,1236.8,1235.75,1.05,38.33,32.27,608791,607.08B
Healthcare Realty Trust Incorporated,HR,19.27,19.28,-0.01,37.06,0.52,2153587,2.843B
Indian Overseas Bank,IOB.NS,32.1,31.4,0.7,160.5,0.2,106032037,606.767B
NRG Energy Inc.,NRG,31.82,32.4,-0.58,15.37,2.07,2165400,7.791B
Lear Corporation,LEA,124.02,125.12,-1.1,47.34,2.62,233925,7.394B
Hamamatsu Photonics K.K.,6965.T,6320.0,6340.0,-20.0,59.28,106.62,197700,978.513B
Telefónica Deutschland Holding AG,O2D.DE,2.303,2.328,-0.02,20.94,0.11,1064298,6.85B
ZOZO Inc.,3092.T,3260.0,3270.0,-10.0,32.18,101.3,400200,967.633B
Canara Bank,CANBK.NS,333.3,321.15,12.15,0,-11.15,18351701,604.65B
Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SBS,10.66,10.8,-0.14,40.69,0.26,839330,7.286B
Wan Hai Lines Ltd.,2615.TW,80.1,79.2,0.9,15.74,5.09,20216292,195.454B
Ally Financial Inc.,ALLY,24.45,24.36,0.09,4.19,5.83,3124497,8.471B
SinoPac Financial Holdings Company Limited,2890.TW,16.75,16.7,0.05,15.44,1.09,14551929,188.791B
AGC Inc.,5201.T,4395.0,4370.0,25.0,29.85,147.24,869600,972.719B
Canadian Utilities Limited,CU.TO,36.65,36.94,-0.29,29.3,1.25,225168,N/A
Inspire Medical Systems Inc.,INSP,251.88,253.41,-1.53,0,-2.19,156124,6.891B
Coty Inc.,COTY,8.56,8.64,-0.08,0,-1.47,4830770,7.006B
CPFL Energia S.A.,CPFE3.SA,33.2,32.59,0.61,10.51,3.16,2109100,38.255B
Mitsubishi Chemical Group Corporation,4188.T,684.7,687.3,-2.6,0,-49.31,2820000,972.562B
Elbit Systems Ltd.,ESLT,164.04,163.77,0.27,30.51,5.38,31023,7.26B
Grupo Aeroportuario del Pacífico S.A.B. de C.V.,PAC,143.81,147.91,-4.1,122.91,1.17,59265,7.46B
Shoprite Holdings Ltd,SHP.JO,22600.0,22834.0,-234.0,3559.62,6.35,592431,12.347T
Olin Corporation,OLN,52.94,53.51,-0.57,0,-4.09,1043834,8.437B
Signature Bank,SBNY,115.22,116.12,-0.9,10.16,11.34,899731,6.986B
KBR Inc.,KBR,52.8,52.38,0.42,95.48,0.55,739942,7.407B
Xero Limited,XRO.AX,70.27,68.76,1.51,304.2,0.23,258068,10.532B
GEA Group Aktiengesellschaft,G1A.F,37.92,37.81,0.11,70.75,0.54,250,6.809B
St. James's Place plc,STJ.L,1095.0,1111.0,-16.0,22.53,48.6,592063,5.917B
BKW AG,BKW.SW,126.5,128.1,-1.6,18.45,6.86,31764,6.674B
Sealed Air Corporation,SEE,49.88,50.1,-0.22,15.49,3.22,456384,7.39B
The Middleby Corporation,MIDD,133.9,134.88,-0.98,35.61,3.76,292889,7.448B
Plug Power Inc.,PLUG,12.37,12.23,0.14,0,-1.58,9865056,7.13B
Unibail-Rodamco-Westfield SE,URW.AS,48.63,49.71,-1.08,0,-52.1,450142,6.74B
Orkla ASA,ORKLF,7.2,7.2,0.0,13.67,0.53,89434,7.175B
Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS,722.9,715.0,7.9,44.77,16.15,816569,593.405B
AptarGroup Inc.,ATR,109.98,110.79,-0.81,30.43,3.61,168006,7.24B
Hess Midstream LP,HESM,29.92,30.02,-0.1,21.43,1.4,276097,1.007B
Ncsoft Corporation,036570.KS,448000.0,433500.0,14500.0,0,0,172186,9.098T
Donaldson Company Inc.,DCI,58.87,59.57,-0.7,30.82,1.91,275351,7.272B
Jindal Steel & Power Limited,JINDALSTEL.NS,580.6,589.35,-8.75,28.61,20.3,3523297,592.264B
Yes Bank Limited,YESBANK.NS,20.6,20.15,0.45,0,-1.65,290509836,516.844B
WEX Inc.,WEX,163.65,163.42,0.23,0,-5.23,327760,7.335B
Etihad Etisalat Company,7020.SR,34.75,34.6,0.15,30.46,1.14,367194,26.758B
Aisin Corporation,7259.T,3530.0,3525.0,5.0,9.01,391.96,597300,951.391B
Israel Discount Bank Limited,ISDAY,57.51,57.51,0.0,15.76,3.65,18,6.694B
Singapore Exchange Limited,S68.SI,8.95,8.93,0.02,19.29,0.46,717500,9.567B
New World Development Company Limited,0017.HK,22.0,21.85,0.15,0.77,28.48,3250583,55.366B
Organon & Co.,OGN,27.93,28.18,-0.25,4.67,5.97,1683223,7.082B
ASR Nederland N.V.,ASRNL.AS,44.35,44.38,-0.03,11.27,3.94,205810,6.018B
CACI International Inc,CACI,300.59,300.59,0.0,18.41,16.33,69738,7.012B
YPF Sociedad Anónima,YPF,9.19,9.05,0.14,0,-1.89,1587717,3.615B
Rakuten Group Inc.,4755.T,596.0,594.0,2.0,0,-84.0,7143700,899.084B
Public Joint Stock Company Magnit,MGNT.ME,4439.0,4420.0,19.0,10.73,413.84,75534,452.383B
Elm Company,7203.SR,332.0,338.4,-6.4,0,0,65170,N/A
Meiji Holdings Co. Ltd.,2269.T,6740.0,6820.0,-80.0,15.22,442.92,373500,973.903B
IDBI Bank Limited,IDBI.NS,54.35,53.8,0.55,37.74,1.44,14257510,584.393B
Hankyu Hanshin Holdings Inc.,9042.T,3920.0,3935.0,-15.0,0,-86.57,256100,944.54B
EMCOR Group Inc.,EME,148.11,149.12,-1.01,57.52,2.58,147078,7.905B
Planet Fitness Inc.,PLNT,78.8,79.18,-0.38,0,-0.19,377626,6.568B
Valmont Industries Inc.,VMI,330.67,333.78,-3.11,46.25,7.15,62725,7.018B
Türkiye Is Bankasi A.S.,ISCTR.IS,12.77,12.92,-0.15,8.63,1.48,243850258,60.564B
Cathay Pacific Airways Limited,0293.HK,8.52,8.58,-0.06,19.81,0.43,3702909,54.845B
Grifols S.A.,GRFS,8.5,8.53,-0.03,15.67,0.54,1024271,8.185B
Türkiye Sise Ve Cam Fabrikalari A.S.,SISE.IS,42.92,43.04,-0.12,37.45,1.15,80239704,131.473B
UiPath Inc.,PATH,12.71,12.69,0.02,0,-1.2,3677016,6.676B
Globant S.A.,GLOB,168.16,168.47,-0.31,122.74,1.37,150443,6.957B
PT Sumber Alfaria Trijaya Tbk,AMRT.JK,2650.0,2740.0,-90.0,103.67,25.56,17922700,110.04T
Grupo Aeroportuario del Sureste S. A. B. de C. V.,ASR,232.99,242.33,-9.34,137.05,1.7,54470,7.029B
ROHM Co. Ltd.,6963.T,9530.0,9580.0,-50.0,41.61,229.04,420900,935.236B
BOK Financial Corporation,BOKF,103.79,103.29,0.5,14.0,7.41,272389,7.12B
Far EasTone Telecommunications Co. Ltd.,4904.TW,65.9,65.8,0.1,25.74,2.56,1558500,214.735B
Ralph Lauren Corporation,RL,105.67,104.68,0.99,0,-4.03,424518,7.779B
Bâloise Holding AG,BALN.SW,142.7,144.0,-1.3,14.82,9.63,58752,6.426B
Ascendis Pharma A/S,ASND,122.13,120.95,1.18,0,-9.98,175368,6.953B
Edison S.p.A.,EDNR.MI,1.36,1.365,-0.0,340.0,0.004,77581,6.441B
UnipolSai Assicurazioni S.p.A.,US.MI,2.302,2.338,-0.04,7.94,0.29,330875,6.513B
publ),SKF-B.ST,159.15,161.75,-2.6,15.02,10.6,751456,72.523B
Indorama Ventures Public Company Limited,I93A.F,1.1,1.05,0.05,137.5,0.008,1250,6.245B
The Shanghai Commercial & Savings Bank Ltd.,5876.TW,44.05,43.9,0.15,14.63,3.01,2915992,196.914B
KT Corporation,KT,13.5,13.56,-0.06,11.28,1.2,748059,6.442B
Københavns Lufthavne A/S,KLH.F,802.0,800.0,2.0,0,-10.94,1,6.557B
Daito Trust Construction Co.Ltd.,1878.T,13540.0,13580.0,-40.0,11.16,1213.52,178900,921.352B
MonotaRO Co. Ltd.,3064.T,1857.0,1857.0,0.0,62.16,29.88,670300,922.615B
China Development Financial Holding Corporation,2883.TW,12.6,12.6,0.0,14.55,0.87,11468546,190.45B
Centrica plc,CNA.L,96.52,96.5,0.02,137.89,0.7,4515228,5.677B
Concentrix Corporation,CNXC,133.16,134.16,-1.0,20.17,6.6,155095,6.967B
Hapvida Participações e Investimentos S.A.,HAPV3.SA,5.08,5.22,-0.14,24.19,0.21,45331000,19.651B
ABB India Limited,ABB.NS,2683.0,2684.2,-1.2,192.19,13.96,155567,568.549B
Mindtree Limited,MINDTREE.NS,3442.7,3433.85,8.85,51.07,67.41,1004799,567.44B
Bancolombia S.A.,CIB,28.54,28.0,0.54,0,0,251649,6.863B
RATIONAL Aktiengesellschaft,RAA.F,556.0,552.0,4.0,78.92,7.05,3,6.322B
Megacable Holdings S. A. B. de C. V.,MEGACPO.MX,51.78,52.03,-0.25,10.7,0,153832,178.175B
DENTSPLY SIRONA Inc.,XRAY,31.84,32.28,-0.44,0,-0.38,1321989,6.96B
Graphic Packaging Holding Company,GPK,22.25,22.34,-0.09,26.55,0.84,1517241,6.833B
Berger Paints India Limited,BERGEPAINT.NS,581.35,584.15,-2.8,92.41,6.29,323531,564.662B
Idemitsu Kosan Co.Ltd.,5019.T,3070.0,3120.0,-50.0,0,-320.65,642900,912.616B
Empire Company Limited,EMP-A.TO,35.66,35.5,0.16,13.61,2.62,283581,9.45B
Robinhood Markets Inc.,HOOD,8.14,8.05,0.09,0,-9.77,9435821,6.802B
GitLab Inc.,GTLB,45.44,45.95,-0.51,0,-4.07,1108358,6.58B
Brixmor Property Group Inc.,BRX,22.67,22.57,0.1,59.35,0.38,2037331,6.733B
Avis Budget Group Inc.,CAR,163.93,162.7,1.23,0,-9.99,512456,9.253B
Advanced Drainage Systems Inc.,WMS,81.97,82.87,-0.9,34.05,2.41,859374,5.84B
Washington H. Soul Pattinson and Company Limited,SOL.AX,27.66,27.49,0.17,6.82,4.06,217592,9.982B
Hellenic Telecommunications Organization S.A.,OTE.F,14.4,14.35,0.05,18.63,0.77,1100,6.674B
Matador Resources Company,MTDR,57.24,57.25,-0.01,0,-5.67,1125861,6.716B
Karuna Therapeutics Inc.,KRTX,196.5,194.03,2.47,0,-4.92,200018,5.821B
Genscript Biotech Corporation,1548.HK,24.85,25.25,-0.4,0,0,6389418,52.218B
Turkiye Garanti Bankasi A.S.,GARAN.IS,30.04,30.3,-0.26,20.01,1.5,35161085,126.168B
Northland Power Inc.,NPI.TO,37.13,37.61,-0.48,21.24,1.75,467601,8.401B
Dolby Laboratories Inc.,DLB,70.54,70.45,0.09,22.87,3.09,325911,7.127B
Amorepacific Corporation,090430.KS,137500.0,141000.0,-3500.0,0,0,232503,8.674T
Omega Healthcare Investors Inc.,OHI,27.95,27.89,0.06,28.03,1.0,1346260,6.679B
DaVita Inc.,DVA,74.67,75.21,-0.54,11.54,6.47,468113,7.609B
Polskie Górnictwo Naftowe i Gazownictwo S.A.,7GG.F,1.053,1.053,0.0,5.85,0.18,2000,6.171B
Japan Post Insurance Co. Ltd.,7181.T,2321.0,2314.0,7.0,7.93,292.83,558900,927.339B
Capcom Co. Ltd.,9697.T,4210.0,4275.0,-65.0,44.05,95.58,375000,898.839B
Fosun International Limited,0656.HK,6.36,6.37,-0.01,3.29,1.933,1744243,52.866B
ITT Inc.,ITT,81.1,81.72,-0.62,98.18,0.83,226091,6.942B
Arkema S.A.,AKE.PA,83.88,85.84,-1.96,21.18,3.96,102792,6.204B
Crocs Inc.,CROX,108.43,107.69,0.74,18.43,5.88,940039,6.381B
Murphy Oil Corporation,MUR,43.01,42.99,0.02,0,-7.48,1068734,6.643B
Woori Financial Group Inc.,WF,27.53,27.87,-0.34,5.91,4.66,42821,6.681B
Treasury Wine Estates Limited,TWE.AX,13.61,13.58,0.03,57.67,0.24,1098924,9.824B
MasTec Inc.,MTZ,85.33,84.4,0.93,19.48,4.38,383974,6.34B
Amplifon S.p.A.,AMP.MI,27.82,27.88,-0.06,62.38,0.45,502128,6.254B
Korean Air Lines Co. Ltd.,003495.KS,30700.0,31750.0,-1050.0,0,0,4523,8.387T
Medical Properties Trust Inc.,MPW,11.14,11.23,-0.09,11.81,0.94,7771082,6.643B
Hunter Douglas N.V.,HDG.AS,179.2,179.2,0.0,64.79,2.77,16823,6.234B
Union Bank of India,UNIONBANK.NS,80.4,78.0,2.4,0,-1.98,35326563,549.514B
Autoliv Inc.,ALV,76.58,77.56,-0.98,24.94,3.07,320609,6.699B
IGM Financial Inc.,IGM.TO,37.8,38.02,-0.22,11.78,3.21,137152,9.04B
agilon health inc.,AGL,16.14,16.2,-0.06,0,-1.06,1207748,6.354B
Swiss Prime Site AG,SPSN.SW,80.15,80.9,-0.75,10.62,7.55,75516,6.089B
Toho Co. Ltd.,9602.T,5080.0,5110.0,-30.0,61.55,82.54,210200,899.551B
Symbotic Inc.,SYM,11.94,11.87,0.07,0,0,102572,N/A
Osaka Gas Co. Ltd.,9532.T,2130.0,2115.0,15.0,10.95,194.47,795200,885.569B
Prosperity Bancshares Inc.,PB,72.68,72.94,-0.26,12.68,5.73,432829,6.699B
Sahara International Petrochemical Company,2310.SR,33.95,34.1,-0.15,140.29,0.24,1827245,24.87B
Hero MotoCorp Limited,HEROMOTOCO.NS,2738.85,2722.2,16.65,20.71,132.23,211750,547.236B
JFE Holdings Inc.,5411.T,1536.0,1543.0,-7.0,0,-511.15,2163800,884.417B
Assurant Inc.,AIZ,125.06,126.63,-1.57,17.88,6.99,267456,7.126B
Melrose Industries PLC,MRO.L,134.5,134.0,0.5,0,-11.0,4083510,5.881B
Medpace Holdings Inc.,MEDP,212.41,215.62,-3.21,50.3,4.22,214381,7.634B
Nexstar Media Group Inc.,NXST,175.03,176.54,-1.51,10.08,17.37,191917,7.157B
Accor SA,AC.PA,23.35,23.72,-0.37,0,-7.71,551436,6.114B
DWS Group GmbH & Co. KGaA,DWS.F,30.32,29.98,0.34,10.04,3.02,1400,6.064B
Range Resources Corporation,RRC,25.02,25.05,-0.03,0,-3.54,3154644,6.5B
Klépierre SA,LI.PA,21.53,21.96,-0.43,0,-2.75,397902,6.141B
Rumo S.A.,RAIL3.SA,18.61,18.47,0.14,104.55,0.18,5980000,34.49B
publ),HOLM-B.ST,413.9,419.4,-5.5,30.89,13.4,95272,67.464B
First Industrial Realty Trust Inc.,FR,48.26,48.69,-0.43,28.56,1.69,718149,6.288B
RTL Group S.A.,RRTL.F,39.52,39.76,-0.24,12.35,3.2,30,6.115B
Endeavor Group Holdings Inc.,EDR,22.54,21.93,0.61,0,-1.27,2028546,5.953B
Atlas Arteria Limited,ALX.AX,6.61,6.53,0.08,0,-0.02,3713440,6.339B
Procore Technologies Inc.,PCOR,47.18,47.87,-0.69,0,-3.96,482556,6.267B
Skechers U.S.A. Inc.,SKX,41.95,41.89,0.06,44.02,0.95,1002064,6.538B
Great Eastern Holdings Limited,G07.SI,18.5,18.52,-0.02,9.11,2.03,6300,8.756B
UPL Limited,UPL.NS,716.15,722.55,-6.4,22.57,31.74,1387124,547.171B
Mapletree Pan Asia Commercial Trust,N2IU.SI,1.67,1.66,0.01,79.52,0.021,4221800,5.548B
Mohawk Industries Inc.,MHK,102.22,102.05,0.17,2.05,49.9,635003,6.924B
Western Alliance Bancorporation,WAL,59.56,59.55,0.01,9.73,6.12,456668,6.206B
ASUSTeK Computer Inc.,2357.TW,268.5,269.0,-0.5,7.6,35.35,767320,199.431B
Tube Investments of India Limited,TIINDIA.NS,2775.55,2758.5,17.05,259.11,10.71,157854,535.887B
Bid Corporation Limited,BID.JO,32985.0,33348.0,-363.0,24875.57,1.33,260922,11.024T
Trend Micro Incorporated,4704.T,6140.0,6170.0,-30.0,31.83,192.87,424700,855.087B
Doximity Inc.,DOCS,33.56,33.86,-0.3,70.65,0.47,748516,6.293B
Iridium Communications Inc.,IRDM,51.4,51.68,-0.28,0,-0.22,328543,6.795B
Southwestern Energy Company,SWN,5.85,5.87,-0.02,0,-2.44,12921083,5.938B
EastGroup Properties Inc.,EGP,148.06,149.35,-1.29,51.97,2.85,154267,6.024B
Samsara Inc.,IOT,12.43,12.21,0.22,0,-0.56,724737,6.22B
publ),SKA-B.ST,165.0,167.0,-2.0,6.95,23.74,504697,68.031B
Canadian Tire Corporation Limited,CTC.TO,249.99,249.99,0.0,20.31,12.31,14,9.052B
Arrow Electronics Inc.,ARW,104.57,105.47,-0.9,14.07,7.43,217747,7.281B
Hanwha Solutions Corporation,009830.KS,43000.0,44200.0,-1200.0,0,0,1092122,8.245T
Ingredion Incorporated,INGR,97.93,98.18,-0.25,19.02,5.15,207573,6.516B
Ritchie Bros. Auctioneers Incorporated,RBA,57.83,58.03,-0.2,37.55,1.54,498973,6.393B
nVent Electric plc,NVT,38.47,38.19,0.28,0,-0.0,625181,6.472B
Spark New Zealand Limited,NZTCF,3.41,3.41,0.0,21.58,0.158,1000,6.397B
RH,RH,267.19,268.35,-1.16,26.83,9.96,615728,5.736B
Gentex Corporation,GNTX,27.27,27.38,-0.11,18.1,1.51,668549,6.45B
Curtiss-Wright Corporation,CW,166.99,166.39,0.6,34.79,4.8,91510,6.553B
Demant A/S,WDH1.F,25.86,25.36,0.5,41.11,0.63,42,6.204B
Turquoise Hill Resources Ltd.,TRQ,31.41,31.7,-0.29,15.56,2.02,4940361,6.321B
Generac Holdings Inc.,GNRC,100.66,100.64,0.02,14.13,7.12,1848495,6.351B
Wacker Chemie AG,WCH.F,120.2,118.5,1.7,26.2,4.59,106,5.971B
Confluent Inc.,CFLT,22.24,22.0,0.24,0,-0.98,1261766,5.882B
Bachem Holding AG,BANB.SW,79.85,81.1,-1.25,14.32,5.58,56766,1.118B
WESCO International Inc.,WCC,125.2,124.26,0.94,82.91,1.51,249227,6.311B
Magnolia Oil & Gas Corporation,MGY,23.45,23.34,0.11,0,-7.27,716858,4.263B
Macrotech Developers Limited,LODHA.NS,1090.85,1094.8,-3.95,0,-3.42,189098,525.55B
OZ Minerals Limited,OZL.AX,27.9,27.92,-0.02,42.79,0.65,831476,9.309B
Torrent Pharmaceuticals Limited,TORNTPHARM.NS,1550.6,1561.45,-10.85,21.13,73.39,326780,262.397B
Pandora A/S,3P7.F,66.34,65.86,0.48,24.79,2.68,1,6.48B
Daiwa Securities Group Inc.,8601.T,583.0,582.0,1.0,8.22,70.9,3748400,870.402B
Whitbread plc,WTB.L,2570.0,2608.0,-38.0,0,-481.9,160472,5.191B
Mattel Inc.,MAT,17.84,18.01,-0.17,28.09,0.63,2679417,6.25B
Murphy USA Inc.,MUSA,279.54,280.99,-1.45,22.83,12.25,212388,7.166B
Yamaha Corporation,7951.T,4920.0,4880.0,40.0,44.33,110.98,513200,843.996B
PT Merdeka Copper Gold Tbk,MDKA.JK,4120.0,4060.0,60.0,1373333.38,0.0,21328800,90.218T
Agree Realty Corporation,ADC,70.93,71.39,-0.46,40.76,1.74,404341,5.056B
Wyndham Hotels & Resorts Inc.,WH,71.31,70.56,0.75,0,-1.39,515306,6.645B
TIS Inc.,3626.T,3480.0,3445.0,35.0,32.21,108.04,498600,867.668B
Clearway Energy Inc.,CWEN,31.87,31.94,-0.07,147.55,0.22,452950,3.629B
Reynolds Consumer Products Inc.,REYN,29.98,30.31,-0.33,19.01,1.58,194852,6.289B
Sanlam Limited,SLM.JO,4872.0,4873.0,-1.0,3553.61,1.37,3283344,10.044T
PI Industries Limited,PIIND.NS,3419.9,3415.55,4.35,74.04,46.19,119554,525.375B
Makita Corporation,6586.T,3080.0,3065.0,15.0,13.48,228.41,707200,836.303B
Frontier Communications Parent Inc.,FYBR,25.48,25.67,-0.19,0.7,36.5,979030,6.228B
Zoomlion Heavy Industry Science and Technology Co. Ltd.,1157.HK,3.69,3.7,-0.01,5.66,0.652,2845000,53.555B
Novatek Microelectronics Corp.,3034.TW,315.5,317.5,-2.0,12.41,25.42,5164661,191.986B
TVS Motor Company Limited,TVSMOTOR.NS,1085.4,1101.0,-15.6,86.76,12.51,1035606,515.659B
Yanbu National Petrochemical Company,2290.SR,41.6,41.5,0.1,23.56,1.77,795961,23.4B
Reece Limited,REH.AX,14.15,13.78,0.37,35.38,0.4,307006,9.141B
KRAFTON Inc.,259960.KS,168000.0,169500.0,-1500.0,0,0,341774,7.862T
Shriram Transport Finance Company Limited,SRTRANSFIN.NS,1372.25,1372.25,0.0,13.53,101.44,659366,371.221B
Stifel Financial Corp.,SF,58.37,58.94,-0.57,12.02,4.86,348930,6.086B
Indus Towers Limited,INDUSTOWER.NS,190.45,189.8,0.65,12.11,15.73,781628,513.162B
Nippon Sanso Holdings Corporation,4091.T,1916.0,1934.0,-18.0,16.82,113.92,487600,829.151B
Ocado Group plc,OCDO.L,616.8,633.4,-16.6,0,-17.5,443467,4.635B
Kintetsu Group Holdings Co.Ltd.,9041.T,4355.0,4390.0,-35.0,0,-243.39,338400,827.842B
GMO Payment Gateway Inc.,3769.T,10920.0,11030.0,-110.0,108.66,100.5,137900,828.201B
PT United Tractors Tbk,UTY.F,1.53,1.54,-0.01,7.54,0.203,3000,5.815B
CAE Inc.,CAE,19.34,19.37,-0.03,604.38,0.03,278849,6.127B
Indian Railway Catering & Tourism Corporation Limited,IRCTC.NS,639.7,633.05,6.65,43.25,14.79,1678871,511.76B
J Sainsbury plc,SBRY.L,217.7,219.1,-1.4,0,-13.0,2659908,5.079B
TPG Telecom Limited,TPG.AX,4.89,4.88,0.01,7.63,0.641,459400,9.092B
Kobe Bussan Co. Ltd.,3038.T,3790.0,3750.0,40.0,52.05,72.82,643000,818.587B
iA Financial Corporation Inc.,IAG.TO,79.27,79.81,-0.54,13.91,5.7,93270,8.532B
Sensata Technologies Holding plc,ST,40.38,40.45,-0.07,30.36,1.33,543417,6.399B
Industrial Bank of Korea,024110.KS,9820.0,10000.0,-180.0,0,0,2087827,7.309T
Clean Harbors Inc.,CLH,114.12,115.09,-0.97,47.16,2.42,118826,6.21B
Hikari Tsushin Inc.,9435.T,18620.0,18220.0,400.0,16.83,1106.32,56200,844.754B
MDU Resources Group Inc.,MDU,30.34,30.62,-0.28,15.59,1.95,436669,6.17B
Helvetia Holding AG,HELN.SW,107.8,108.6,-0.8,22.65,4.76,40933,5.69B
Nippon Prologis REIT Inc.,3283.T,308500.0,305000.0,3500.0,37.83,8154.37,4974,822.504B
Santander Bank Polska S.A.,BZI.F,55.4,54.5,0.9,8.19,6.76,2,5.83B
